local_client_index,dataset_client_id,train_samples,fedscale_profile_client_id,fedscale_mapping_mode
0,f0000_14,344,1,one_based_direct
1,f0001_41,372,2,one_based_direct
2,f0002_01,364,3,one_based_direct
3,f0003_42,358,4,one_based_direct
4,f0004_09,284,5,one_based_direct
5,f0005_26,316,6,one_based_direct
6,f0006_12,342,7,one_based_direct
7,f0007_14,338,8,one_based_direct
8,f0008_45,377,9,one_based_direct
9,f0009_06,340,10,one_based_direct
10,f0010_18,393,11,one_based_direct
11,f0011_13,383,12,one_based_direct
12,f0012_39,278,13,one_based_direct
13,f0013_38,297,14,one_based_direct
14,f0014_19,341,15,one_based_direct
15,f0015_48,333,16,one_based_direct
16,f0016_39,281,17,one_based_direct
17,f0017_07,382,18,one_based_direct
18,f0018_13,345,19,one_based_direct
19,f0019_38,340,20,one_based_direct
20,f0020_08,334,21,one_based_direct
21,f0021_34,263,22,one_based_direct
22,f0022_10,301,23,one_based_direct
23,f0023_08,377,24,one_based_direct
24,f0024_24,337,25,one_based_direct
25,f0025_13,286,26,one_based_direct
26,f0026_17,327,27,one_based_direct
27,f0027_29,402,28,one_based_direct
28,f0028_05,360,29,one_based_direct
29,f0030_12,256,30,one_based_direct
30,f0031_02,367,31,one_based_direct
31,f0032_27,251,32,one_based_direct
32,f0033_49,304,33,one_based_direct
33,f0034_08,339,34,one_based_direct
34,f0035_19,375,35,one_based_direct
35,f0036_39,346,36,one_based_direct
36,f0037_16,363,37,one_based_direct
37,f0038_42,313,38,one_based_direct
38,f0039_14,336,39,one_based_direct
39,f0040_25,338,40,one_based_direct
40,f0041_30,323,41,one_based_direct
41,f0042_43,297,42,one_based_direct
42,f0043_10,297,43,one_based_direct
43,f0044_12,309,44,one_based_direct
44,f0045_12,295,45,one_based_direct
45,f0046_20,387,46,one_based_direct
46,f0047_00,356,47,one_based_direct
47,f0049_32,354,48,one_based_direct
48,f0050_10,282,49,one_based_direct
49,f0051_42,357,50,one_based_direct
50,f0053_23,294,51,one_based_direct
51,f0054_14,386,52,one_based_direct
52,f0055_09,336,53,one_based_direct
53,f0056_01,309,54,one_based_direct
54,f0057_20,350,55,one_based_direct
55,f0058_07,312,56,one_based_direct
56,f0059_21,325,57,one_based_direct
57,f0060_43,273,58,one_based_direct
58,f0061_45,321,59,one_based_direct
59,f0062_25,351,60,one_based_direct
60,f0063_38,372,61,one_based_direct
61,f0064_04,320,62,one_based_direct
62,f0065_00,342,63,one_based_direct
63,f0066_37,386,64,one_based_direct
64,f0068_00,317,65,one_based_direct
65,f0069_14,342,66,one_based_direct
66,f0070_14,390,67,one_based_direct
67,f0071_21,270,68,one_based_direct
68,f0072_36,342,69,one_based_direct
69,f0073_45,299,70,one_based_direct
70,f0074_07,265,71,one_based_direct
71,f0075_46,285,72,one_based_direct
72,f0076_06,308,73,one_based_direct
73,f0077_13,369,74,one_based_direct
74,f0078_48,332,75,one_based_direct
75,f0080_14,291,76,one_based_direct
76,f0081_26,306,77,one_based_direct
77,f0082_40,277,78,one_based_direct
78,f0083_09,288,79,one_based_direct
79,f0085_01,333,80,one_based_direct
80,f0086_47,283,81,one_based_direct
