local_client_index,dataset_client_id,train_samples
0,f0000_14,344
1,f0001_41,372
2,f0002_01,364
3,f0003_42,358
4,f0004_09,284
5,f0005_26,316
6,f0006_12,342
7,f0007_14,338
8,f0008_45,377
9,f0009_06,340
10,f0010_18,393
11,f0011_13,383
12,f0012_39,278
13,f0013_38,297
14,f0014_19,341
15,f0015_48,333
16,f0016_39,281
17,f0017_07,382
18,f0018_13,345
19,f0019_38,340
20,f0020_08,334
21,f0021_34,263
22,f0022_10,301
23,f0023_08,377
24,f0024_24,337
25,f0025_13,286
26,f0026_17,327
27,f0027_29,402
28,f0028_05,360
29,f0030_12,256
30,f0031_02,367
31,f0032_27,251
32,f0033_49,304
33,f0034_08,339
34,f0035_19,375
35,f0036_39,346
36,f0037_16,363
37,f0038_42,313
38,f0039_14,336
39,f0040_25,338
40,f0041_30,323
41,f0042_43,297
42,f0043_10,297
43,f0044_12,309
44,f0045_12,295
45,f0046_20,387
46,f0047_00,356
47,f0049_32,354
48,f0050_10,282
49,f0051_42,357
50,f0053_23,294
51,f0054_14,386
52,f0055_09,336
53,f0056_01,309
54,f0057_20,350
55,f0058_07,312
56,f0059_21,325
57,f0060_43,273
58,f0061_45,321
59,f0062_25,351
60,f0063_38,372
61,f0064_04,320
62,f0065_00,342
63,f0066_37,386
64,f0068_00,317
65,f0069_14,342
66,f0070_14,390
67,f0071_21,270
68,f0072_36,342
69,f0073_45,299
70,f0074_07,265
71,f0075_46,285
72,f0076_06,308
73,f0077_13,369
74,f0078_48,332
75,f0080_14,291
76,f0081_26,306
77,f0082_40,277
78,f0083_09,288
79,f0085_01,333
80,f0086_47,283
81,f0087_24,292
82,f0088_22,297
83,f0089_16,332
84,f0090_10,363
85,f0091_26,330
86,f0092_16,344
87,f0093_24,274
88,f0094_41,369
89,f0095_41,363
90,f0096_45,360
91,f0097_05,320
92,f0098_33,330
93,f0099_18,381
94,f0100_42,313
95,f0101_44,319
96,f0102_31,375
97,f0103_28,321
98,f0104_43,342
99,f0105_03,286
100,f0106_05,285
101,f0107_06,352
102,f0108_12,373
103,f0109_19,267
104,f0110_48,384
105,f0111_36,319
106,f0112_07,357
107,f0113_31,340
108,f0114_20,271
109,f0115_34,379
110,f0116_23,276
111,f0117_11,338
112,f0118_07,368
113,f0119_44,394
114,f0120_29,271
115,f0121_11,334
116,f0122_45,271
117,f0123_28,332
118,f0124_11,332
119,f0125_02,279
120,f0126_41,261
121,f0127_07,349
122,f0128_00,299
123,f0129_32,275
124,f0130_28,340
125,f0131_03,271
126,f0132_17,314
127,f0133_23,319
128,f0135_03,333
129,f0136_18,318
130,f0137_14,356
131,f0138_30,263
132,f0139_23,315
133,f0140_09,312
134,f0141_43,351
135,f0143_00,356
136,f0144_05,334
137,f0145_33,300
138,f0146_33,280
139,f0147_13,319
140,f0149_15,281
141,f0150_25,325
142,f0151_02,285
143,f0153_35,310
144,f0154_34,253
145,f0155_13,398
146,f0156_09,350
