local_client_index,dataset_client_id,train_samples,fedscale_profile_client_id,fedscale_mapping_mode
0,00176480,7,1,one_based_direct
1,004ae714,29,2,one_based_direct
2,00761705,4,3,one_based_direct
3,00970ce1,20,4,one_based_direct
4,00b01445,30,5,one_based_direct
5,00f0204f,29,6,one_based_direct
6,012187a4,28,7,one_based_direct
7,012c8314,30,8,one_based_direct
8,0132a06d,98,9,one_based_direct
9,0135f3f2,29,10,one_based_direct
10,0137b3f4,96,11,one_based_direct
11,014f9f65,30,12,one_based_direct
12,01648c51,30,13,one_based_direct
13,0165e0e8,18,14,one_based_direct
14,016e2c6d,30,15,one_based_direct
15,017c4098,122,16,one_based_direct
16,019fa366,29,17,one_based_direct
17,01b4757a,29,18,one_based_direct
18,01bb6a2a,69,19,one_based_direct
19,01bcfc0c,29,20,one_based_direct
20,01d22d03,30,21,one_based_direct
21,0227998e,30,22,one_based_direct
22,023808be,8,23,one_based_direct
23,023a61ad,24,24,one_based_direct
24,02583d36,2,25,one_based_direct
25,02746d24,29,26,one_based_direct
26,02ade946,128,27,one_based_direct
27,02e85b60,30,28,one_based_direct
28,02fcd241,7,29,one_based_direct
29,030ec18b,30,30,one_based_direct
30,03431e13,17,31,one_based_direct
31,035de8fe,30,32,one_based_direct
32,0362539c,29,33,one_based_direct
33,037c445a,29,34,one_based_direct
34,038da7ee,8,35,one_based_direct
35,0397ecda,30,36,one_based_direct
36,03c96658,28,37,one_based_direct
37,03cf93b1,29,38,one_based_direct
38,042186b8,30,39,one_based_direct
39,042a8dde,92,40,one_based_direct
40,042ea76c,30,41,one_based_direct
41,0447d7c1,21,42,one_based_direct
42,0474c92a,30,43,one_based_direct
43,050170cb,125,44,one_based_direct
44,0547aa66,2,45,one_based_direct
45,05739450,30,46,one_based_direct
46,0585b66d,117,47,one_based_direct
47,05b2db80,30,48,one_based_direct
48,05cf43ef,30,49,one_based_direct
49,05d18852,17,50,one_based_direct
50,06076b6b,29,51,one_based_direct
51,0616de09,15,52,one_based_direct
52,061a5915,6,53,one_based_direct
53,063d48cf,30,54,one_based_direct
54,067c8570,2,55,one_based_direct
55,0685264e,21,56,one_based_direct
56,069ab0d5,30,57,one_based_direct
57,06a79a03,28,58,one_based_direct
58,06dacdb9,1,59,one_based_direct
59,06f6c194,126,60,one_based_direct
60,07089da9,95,61,one_based_direct
61,070b49af,28,62,one_based_direct
62,0717b9f6,99,63,one_based_direct
63,07363607,30,64,one_based_direct
64,075e38c3,19,65,one_based_direct
65,079d1020,30,66,one_based_direct
66,079dfce3,29,67,one_based_direct
67,07ad9b59,29,68,one_based_direct
68,07c5129e,30,69,one_based_direct
69,07f7e812,1,70,one_based_direct
70,0819edb0,30,71,one_based_direct
71,08ab231c,117,72,one_based_direct
72,08ab8082,30,73,one_based_direct
73,090efdc4,1,74,one_based_direct
74,093f65a1,30,75,one_based_direct
75,0943c746,16,76,one_based_direct
76,095847e4,30,77,one_based_direct
77,09a7aa2a,32,78,one_based_direct
78,09bcdc9d,30,79,one_based_direct
79,09ddc105,30,80,one_based_direct
80,0a0b46ae,2,81,one_based_direct
81,0a196374,98,82,one_based_direct
82,0a2b400e,121,83,one_based_direct
83,0a396ff2,9,84,one_based_direct
84,0a5636ca,34,85,one_based_direct
85,0a7c2a8d,30,86,one_based_direct
86,0a9f9af7,29,87,one_based_direct
87,0ac15fe9,30,88,one_based_direct
88,0b09edd3,30,89,one_based_direct
89,0b139000,7,90,one_based_direct
90,0b40aa8e,29,91,one_based_direct
91,0b56bcfe,29,92,one_based_direct
92,0b77ee66,30,93,one_based_direct
93,0b7ee1a0,116,94,one_based_direct
94,0ba018fc,121,95,one_based_direct
95,0bd689d7,28,96,one_based_direct
96,0bde966a,28,97,one_based_direct
97,0bfec55f,26,98,one_based_direct
98,0c09f202,22,99,one_based_direct
99,0c2ca723,30,100,one_based_direct
100,0c2d2ffa,25,101,one_based_direct
101,0c5027de,24,102,one_based_direct
102,0cc6b0b0,2,103,one_based_direct
103,0cd323ec,28,104,one_based_direct
104,0d2bcf9d,30,105,one_based_direct
105,0d393936,30,106,one_based_direct
106,0d6d7360,119,107,one_based_direct
107,0d85a428,35,108,one_based_direct
108,0d90d8e1,120,109,one_based_direct
109,0d97f020,2,110,one_based_direct
110,0e4d22f1,3,111,one_based_direct
111,0e5193e6,29,112,one_based_direct
112,0e6e36c9,111,113,one_based_direct
113,0e8ec1cb,8,114,one_based_direct
114,0eb48e10,9,115,one_based_direct
115,0f2442b6,23,116,one_based_direct
116,0f3f64d5,29,117,one_based_direct
117,0f46028a,124,118,one_based_direct
118,0f7205ef,30,119,one_based_direct
119,0f7266cf,124,120,one_based_direct
120,0f7dc557,30,121,one_based_direct
121,0fc57d61,6,122,one_based_direct
122,0ff728b5,104,123,one_based_direct
123,102192fd,29,124,one_based_direct
124,10467b06,30,125,one_based_direct
125,10627519,30,126,one_based_direct
126,106a6183,95,127,one_based_direct
127,107bc341,2,128,one_based_direct
128,10ace7eb,97,129,one_based_direct
129,10c6d873,30,130,one_based_direct
130,11099149,30,131,one_based_direct
131,11321027,30,132,one_based_direct
132,11379f4d,29,133,one_based_direct
133,113b3fbc,124,134,one_based_direct
134,118261a9,29,135,one_based_direct
135,11860c84,30,136,one_based_direct
136,11a022ba,30,137,one_based_direct
137,11b1df78,30,138,one_based_direct
138,1224e4a7,4,139,one_based_direct
139,122c5aa7,97,140,one_based_direct
140,12529547,30,141,one_based_direct
141,12623a81,17,142,one_based_direct
142,126a31d2,28,143,one_based_direct
143,129c7d8d,30,144,one_based_direct
144,12c206ea,24,145,one_based_direct
145,130d9a87,24,146,one_based_direct
146,13199b79,30,147,one_based_direct
147,131e738d,113,148,one_based_direct
148,132f6c15,1,149,one_based_direct
149,1338a799,30,150,one_based_direct
150,1365dd89,30,151,one_based_direct
151,139b255d,2,152,one_based_direct
152,13a93b33,15,153,one_based_direct
153,13d7b8c9,30,154,one_based_direct
154,13dce503,35,155,one_based_direct
155,140a0fdc,3,156,one_based_direct
156,144d27ff,47,157,one_based_direct
157,14587ff0,10,158,one_based_direct
158,146d97db,30,159,one_based_direct
159,1473be6a,33,160,one_based_direct
160,1474273a,32,161,one_based_direct
161,14775481,30,162,one_based_direct
162,14872d06,25,163,one_based_direct
163,1496195a,113,164,one_based_direct
164,14c2b13d,5,165,one_based_direct
165,14c7b073,119,166,one_based_direct
166,14df1e28,13,167,one_based_direct
167,151bfb79,30,168,one_based_direct
168,152491bc,30,169,one_based_direct
169,15574821,29,170,one_based_direct
170,1586e28e,5,171,one_based_direct
171,1589451d,16,172,one_based_direct
172,15b0c947,29,173,one_based_direct
173,15c371c7,15,174,one_based_direct
174,15c563d7,101,175,one_based_direct
175,15c9605c,5,176,one_based_direct
176,15dd287d,115,177,one_based_direct
177,15f04ff8,27,178,one_based_direct
178,161fcca8,29,179,one_based_direct
179,1625acd8,30,180,one_based_direct
180,1626bc5a,30,181,one_based_direct
181,1678e6f1,27,182,one_based_direct
182,16d41d07,29,183,one_based_direct
183,16fce7de,13,184,one_based_direct
184,1706c35f,29,185,one_based_direct
185,172b9c95,1,186,one_based_direct
186,172dc2b0,29,187,one_based_direct
187,173ae793,30,188,one_based_direct
188,173ce2be,30,189,one_based_direct
189,173e6bbf,30,190,one_based_direct
190,1746d7b6,29,191,one_based_direct
191,179a61b7,110,192,one_based_direct
192,17c94b23,30,193,one_based_direct
193,17cc40ee,30,194,one_based_direct
194,17f0e206,30,195,one_based_direct
195,1851e33b,26,196,one_based_direct
196,187af8be,30,197,one_based_direct
197,1887fe04,30,198,one_based_direct
198,1890e5c3,30,199,one_based_direct
199,18a1aab9,30,200,one_based_direct
200,18a6a90e,3,201,one_based_direct
201,18a8f03f,30,202,one_based_direct
202,18c54a68,30,203,one_based_direct
203,18d120ae,6,204,one_based_direct
204,18d84076,19,205,one_based_direct
