local_client_index,dataset_client_id,train_samples
0,00176480,7
1,004ae714,29
2,00761705,4
3,00970ce1,20
4,00b01445,30
5,00f0204f,29
6,012187a4,28
7,012c8314,30
8,0132a06d,98
9,0135f3f2,29
10,0137b3f4,96
11,014f9f65,30
12,01648c51,30
13,0165e0e8,18
14,016e2c6d,30
15,017c4098,122
16,019fa366,29
17,01b4757a,29
18,01bb6a2a,69
19,01bcfc0c,29
20,01d22d03,30
21,0227998e,30
22,023808be,8
23,023a61ad,24
24,02583d36,2
25,02746d24,29
26,02ade946,128
27,02e85b60,30
28,02fcd241,7
29,030ec18b,30
30,03431e13,17
31,035de8fe,30
32,0362539c,29
33,037c445a,29
34,038da7ee,8
35,0397ecda,30
36,03c96658,28
37,03cf93b1,29
38,042186b8,30
39,042a8dde,92
40,042ea76c,30
41,0447d7c1,21
42,0474c92a,30
43,050170cb,125
44,0547aa66,2
45,05739450,30
46,0585b66d,117
47,05b2db80,30
48,05cf43ef,30
49,05d18852,17
50,06076b6b,29
51,0616de09,15
52,061a5915,6
53,063d48cf,30
54,067c8570,2
55,0685264e,21
56,069ab0d5,30
57,06a79a03,28
58,06dacdb9,1
59,06f6c194,126
60,07089da9,95
61,070b49af,28
62,0717b9f6,99
63,07363607,30
64,075e38c3,19
65,079d1020,30
66,079dfce3,29
67,07ad9b59,29
68,07c5129e,30
69,07f7e812,1
70,0819edb0,30
71,08ab231c,117
72,08ab8082,30
73,090efdc4,1
74,093f65a1,30
75,0943c746,16
76,095847e4,30
77,09a7aa2a,32
78,09bcdc9d,30
79,09ddc105,30
80,0a0b46ae,2
81,0a196374,98
82,0a2b400e,121
83,0a396ff2,9
84,0a5636ca,34
85,0a7c2a8d,30
86,0a9f9af7,29
87,0ac15fe9,30
88,0b09edd3,30
89,0b139000,7
90,0b40aa8e,29
91,0b56bcfe,29
92,0b77ee66,30
93,0b7ee1a0,116
94,0ba018fc,121
95,0bd689d7,28
96,0bde966a,28
97,0bfec55f,26
98,0c09f202,22
99,0c2ca723,30
100,0c2d2ffa,25
101,0c5027de,24
102,0cc6b0b0,2
103,0cd323ec,28
104,0d2bcf9d,30
105,0d393936,30
106,0d6d7360,119
107,0d85a428,35
108,0d90d8e1,120
109,0d97f020,2
110,0e4d22f1,3
111,0e5193e6,29
112,0e6e36c9,111
113,0e8ec1cb,8
114,0eb48e10,9
115,0f2442b6,23
116,0f3f64d5,29
117,0f46028a,124
118,0f7205ef,30
119,0f7266cf,124
120,0f7dc557,30
121,0fc57d61,6
122,0ff728b5,104
123,102192fd,29
124,10467b06,30
125,10627519,30
126,106a6183,95
127,107bc341,2
128,10ace7eb,97
129,10c6d873,30
130,11099149,30
131,11321027,30
132,11379f4d,29
133,113b3fbc,124
134,118261a9,29
135,11860c84,30
136,11a022ba,30
137,11b1df78,30
138,1224e4a7,4
139,122c5aa7,97
140,12529547,30
141,12623a81,17
142,126a31d2,28
143,129c7d8d,30
144,12c206ea,24
145,130d9a87,24
146,13199b79,30
147,131e738d,113
148,132f6c15,1
149,1338a799,30
150,1365dd89,30
151,139b255d,2
152,13a93b33,15
153,13d7b8c9,30
154,13dce503,35
155,140a0fdc,3
156,144d27ff,47
157,14587ff0,10
158,146d97db,30
159,1473be6a,33
160,1474273a,32
161,14775481,30
162,14872d06,25
