run_id,run_class,source,code_identity,command_record,dataset,alpha,distribution,random_cost,num_users,concurrency,buffer_size,K0,sketch_dim,recluster_interval,local_lr,global_lr,BN_policy,delay_mapping,init_mode,weight_source,oracle_flag,seed,rounds,accuracy_record,system_metrics_record,checkpoint_record
e2_repaired_D_final_cifar100_seed1,postfix_repaired_final_D_rerun,authorized_desktop_external_state:e2_repaired_D_final_20260922_174036,public commit 4ac3e06; final first-arrival assignment and same-round unique-client weight refresh,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; full per-round E2 metrics retained externally; no checkpoint,seed-controlled client delay groups; exact per-client mapping not committed,online,unique_client,false,1,500,external acc/*.txt,external metrics/*.csv,not retained
e2_repaired_online_cifar100_seed2,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_online_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,online,unique_client,false,2,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_online_cifar100_seed3,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_online_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,online,unique_client,false,3,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_online_cifar100_seed4,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_online_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,online,unique_client,false,4,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_online_cifar100_seed5,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_online_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,online,unique_client,false,5,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_fullwarm_cifar100_seed1,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_fullwarm_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,full,full_count,false,1,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_fullwarm_cifar100_seed2,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_fullwarm_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,full,full_count,false,2,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_fullwarm_cifar100_seed3,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_fullwarm_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,full,full_count,false,3,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_fullwarm_cifar100_seed4,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_fullwarm_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,full,full_count,false,4,500,acc/*.txt,metrics/*.csv,not retained
e2_repaired_fullwarm_cifar100_seed5,postfix_repaired_10_run_comparison,authorized_desktop_external_state:e2_repaired_fullwarm_cifar100_seed1_5_20260922,desktop tree hash at run time: algorithm/dirbridge.py 68a7cab8; utils/e2_online.py 2d63b468; main_fed.py 30b911c8; no Git commit,commands.sh,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,standard BatchNorm2d; running_mean/running_var exported; num_batches_tracked excluded,seed-controlled client delay groups; exact per-client mapping not retained,full,full_count,false,5,500,acc/*.txt,metrics/*.csv,not retained
