run_tag,method,local_lr,server_lr,validation_tail10,test_tail10,rows,status
cifar-DirBridge_lr0.003_glr0.1,DirBridge,0.003,0.1,30.440,29.619,150,verified
cifar-DirBridge_lr0.003_glr0.5,DirBridge,0.003,0.5,44.138,44.373,150,verified
cifar-DirBridge_lr0.003_glr1,DirBridge,0.003,1.0,42.464,42.522,150,verified
cifar-DirBridge_lr0.01_glr0.1,DirBridge,0.01,0.1,37.516,38.924,150,verified
cifar-DirBridge_lr0.01_glr0.5,DirBridge,0.01,0.5,58.046,57.252,150,verified
cifar-DirBridge_lr0.01_glr1,DirBridge,0.01,1.0,43.066,43.051,150,verified
cifar-DirBridge_lr0.03_glr0.1,DirBridge,0.03,0.1,46.866,47.256,150,verified
cifar-DirBridge_lr0.03_glr0.5,DirBridge,0.03,0.5,66.002,65.741,150,verified
cifar-DirBridge_lr0.03_glr1,DirBridge,0.03,1.0,55.330,55.274,150,verified
cifar-DirBridge_lr0.05_glr0.1,DirBridge,0.05,0.1,45.086,45.001,150,verified
cifar-DirBridge_lr0.05_glr0.5,DirBridge,0.05,0.5,63.300,63.132,150,verified
cifar-DirBridge_lr0.05_glr1,DirBridge,0.05,1.0,37.136,37.166,150,verified
cifar-FedBuff_lr0.003_glr0.1,FedBuff,0.003,0.1,31.218,31.278,150,verified
cifar-FedBuff_lr0.003_glr0.5,FedBuff,0.003,0.5,43.166,43.280,150,verified
cifar-FedBuff_lr0.003_glr1,FedBuff,0.003,1.0,10.404,10.000,150,verified
cifar-FedBuff_lr0.01_glr0.1,FedBuff,0.01,0.1,39.728,39.759,150,verified
cifar-FedBuff_lr0.01_glr0.5,FedBuff,0.01,0.5,56.738,56.824,150,verified
cifar-FedBuff_lr0.01_glr1,FedBuff,0.01,1.0,10.032,10.000,150,verified
cifar-FedBuff_lr0.03_glr0.1,FedBuff,0.03,0.1,47.330,47.256,150,verified
cifar-FedBuff_lr0.03_glr0.5,FedBuff,0.03,0.5,63.662,63.302,150,verified
cifar-FedBuff_lr0.03_glr1,FedBuff,0.03,1.0,10.100,10.000,150,verified
cifar-FedBuff_lr0.05_glr0.1,FedBuff,0.05,0.1,44.848,45.184,150,verified
cifar-FedBuff_lr0.05_glr0.5,FedBuff,0.05,0.5,61.484,61.122,150,verified
cifar-FedBuff_lr0.05_glr1,FedBuff,0.05,1.0,10.100,10.000,150,verified
