run_tag,method,local_lr,server_lr,validation_tail10,rows,returncode,verified
DirBridge_lr0.003_glr0.1,DirBridge,0.003,0.1,6.1216165066,150,0,true
DirBridge_lr0.003_glr0.5,DirBridge,0.003,0.5,6.4827346325,150,0,true
DirBridge_lr0.003_glr1,DirBridge,0.003,1.0,7.5622944832,150,0,true
DirBridge_lr0.01_glr0.1,DirBridge,0.01,0.1,6.0017709732,150,0,true
DirBridge_lr0.01_glr0.5,DirBridge,0.01,0.5,7.8804072857,150,0,true
DirBridge_lr0.01_glr1,DirBridge,0.01,1.0,46.5023399353,150,0,true
DirBridge_lr0.03_glr0.1,DirBridge,0.03,0.1,6.0005059242,150,0,true
DirBridge_lr0.03_glr0.5,DirBridge,0.03,0.5,62.6777133942,150,0,true
DirBridge_lr0.03_glr1,DirBridge,0.03,1.0,78.0600181570,150,0,true
DirBridge_lr0.05_glr0.1,DirBridge,0.05,0.1,6.4963319778,150,0,true
DirBridge_lr0.05_glr0.5,DirBridge,0.05,0.5,73.7648620605,150,0,true
DirBridge_lr0.05_glr1,DirBridge,0.05,1.0,82.7766883850,150,0,true
FedBuff_lr0.003_glr0.1,FedBuff,0.003,0.1,6.0065140247,150,0,true
FedBuff_lr0.003_glr0.5,FedBuff,0.003,0.5,7.0414874554,150,0,true
FedBuff_lr0.003_glr1,FedBuff,0.003,1.0,6.8808499813,150,0,true
FedBuff_lr0.01_glr0.1,FedBuff,0.01,0.1,6.0239059448,150,0,true
FedBuff_lr0.01_glr0.5,FedBuff,0.01,0.5,8.0979635239,150,0,true
FedBuff_lr0.01_glr1,FedBuff,0.01,1.0,44.9737537384,150,0,true
FedBuff_lr0.03_glr0.1,FedBuff,0.03,0.1,5.9986085892,150,0,true
FedBuff_lr0.03_glr0.5,FedBuff,0.03,0.5,61.3669998169,150,0,true
FedBuff_lr0.03_glr1,FedBuff,0.03,1.0,77.8753471375,150,0,true
FedBuff_lr0.05_glr0.1,FedBuff,0.05,0.1,6.2209082127,150,0,true
FedBuff_lr0.05_glr0.5,FedBuff,0.05,0.5,73.7082588196,150,0,true
FedBuff_lr0.05_glr1,FedBuff,0.05,1.0,82.6859344482,150,0,true
