setting,method,phase,seed,local_lr,server_lr,validation_fraction,validation_seed,rounds,selection_metric,status
CIFAR-10,FedBuff,confirmatory_dev,100,0.003,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.003,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.003,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.003,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.003,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.003,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.01,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.01,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.01,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.01,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.01,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.01,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.03,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.03,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.03,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.03,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.03,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.03,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.05,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.05,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,FedBuff,confirmatory_dev,100,0.05,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.05,0.1,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.05,0.5,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
CIFAR-10,DirBridge,confirmatory_dev,100,0.05,1.0,0.1,20260922,150,validation_tail10_accuracy,planned_not_launched
