dataset,comparison,seed,dirbridge_tail10,baseline_tail10,paired_difference,dirbridge_final,baseline_final,win
FEMNIST,DirBridge_vs_FedBuff,1,72.3225395203,73.0320976257,-0.7095581055,81.1346130371,73.4582824707,loss
FEMNIST,DirBridge_vs_FedBuff,2,73.5250545502,73.9321586609,-0.4071041107,75.2258605957,74.0979766846,loss
FEMNIST,DirBridge_vs_FedBuff,3,75.6065879822,75.4946403503,0.1119476318,80.0095367432,75.7897949219,win
FEMNIST,DirBridge_vs_FedBuff,4,80.4615348816,74.244430541992,6.2171043396,80.5257873535,76.4996337891,win
FEMNIST,DirBridge_vs_FedBuff,5,66.0978618622,69.7062454224,-3.6083835602,65.5406570435,73.7669067383,loss
GSpeech,DirBridge_vs_FedASMU,1,61.4329849243,35.6583374023,25.77464752197,61.1631088257,35.9018630981,win
GSpeech,DirBridge_vs_FedASMU,2,44.5851890565,35.9073149414,8.6778741837,58.7551116943,41.8537025452,win
GSpeech,DirBridge_vs_FedASMU,3,63.2748752594,39.4711494446,23.8037258148,60.7996368408,38.0281677246,win
GSpeech,DirBridge_vs_FedASMU,4,55.7273963928,37.9082233429,17.8191730499,63.2348937988,34.6024551392,win
GSpeech,DirBridge_vs_FedASMU,5,41.2521576881,34.0472509384,7.2049067497,62.6896858215,38.8005447388,win
# summary,FEMNIST,DirBridge_vs_FedBuff,mean_diff=0.3208012390,sd_diff=3.5999996474,ci95_low=-4.1491887164,ci95_high=4.7907911945,wins=2,losses=3,ties=0
# summary,GSpeech,DirBridge_vs_FedASMU,mean_diff=16.6560654640,sd_diff=8.4936203065,ci95_low=6.1098429158,ci95_high=27.2022880122,wins=5,losses=0,ties=0
