K0,seed,tail10,difference_vs_K0_7
1,1,23.691000175476074,-24.50399990081787
1,2,17.195000076293944,-29.808999633789064
1,3,28.045999908447264,-20.13800048828125
1,4,15.06700005531311,-32.31499991416931
1,5,31.569000434875488,-14.782999229431152
2,1,43.61499938964844,-4.580000686645505
2,2,40.515999984741214,-6.487999725341794
2,3,45.15400009155273,-3.0300003051757827
2,4,41.772000312805176,-5.609999656677246
2,5,42.47000007629394,-3.8819995880126967
4,1,47.2370002746582,-0.9579998016357436
4,2,45.88600044250488,-1.1179992675781278
4,3,47.755000305175784,-0.4290000915527301
4,4,46.25099983215332,-1.131000137329103
4,5,45.50900039672852,-0.8429992675781222
7,1,48.195000076293944,0.0
7,2,47.00399971008301,0.0
7,3,48.184000396728514,0.0
7,4,47.38199996948242,0.0
7,5,46.35199966430664,0.0
12,1,49.29899978637695,1.1039997100830092
12,2,49.12299995422363,2.119000244140622
12,3,49.32600021362305,1.1419998168945327
12,4,49.68600006103516,2.304000091552737
12,5,47.207999801635744,0.8560001373291044
16,1,48.956999969482425,0.7619998931884808
16,2,49.43200035095215,2.4280006408691435
16,3,48.96199989318848,0.7779994964599624
16,4,48.632999420166016,1.2509994506835938
16,5,47.5,1.1480003356933608
