config,seed,code_identity,B,K0,ds,staleness_threshold,accuracy_rows,tail10,final_accuracy,accuracy_finite,system_metrics_rows,simulated_wall_time,runtime_sec,status
default_B10K7ds2048,1,pre-E2 archived E5 identity,10,7,2048,,500,48.195000076293944,47.400001525878906,True,500,508.5670473333912,2858.719725137984,complete
default_B10K7ds2048,2,pre-E2 archived E5 identity,10,7,2048,,500,47.00399971008301,45.79999923706055,True,500,506.56218270650027,2670.052959529974,complete
default_B10K7ds2048,3,pre-E2 archived E5 identity,10,7,2048,,500,48.184000396728514,47.77000045776367,True,500,543.3782463190792,2648.411585833004,complete
default_B10K7ds2048,4,pre-E2 archived E5 identity,10,7,2048,,500,47.38199996948242,48.45000076293945,True,500,517.8807388925311,2730.8698736159713,complete
default_B10K7ds2048,5,pre-E2 archived E5 identity,10,7,2048,,500,46.35199966430664,46.130001068115234,True,500,507.4131120632363,2872.4809985280153,complete
ds128,1,pre-E2 archived E5 identity,10,7,128,,500,48.9770004272461,48.459999084472656,True,500,511.4311619574603,2282.8977282530395,complete
ds128,2,pre-E2 archived E5 identity,10,7,128,,500,48.49599990844727,49.7599983215332,True,500,509.91826126105843,2276.655409785977,complete
ds128,3,pre-E2 archived E5 identity,10,7,128,,500,46.183999633789064,46.79999923706055,True,500,542.6907874508955,2673.6681622649776,complete
ds128,4,pre-E2 archived E5 identity,10,7,128,,500,47.692000198364255,47.290000915527344,True,500,517.6244503950988,2451.177212621027,complete
ds128,5,pre-E2 archived E5 identity,10,7,128,,500,43.6120002746582,45.2400016784668,True,500,511.1997315698592,2556.642205164011,complete
ds512,1,pre-E2 archived E5 identity,10,7,512,,500,46.59899978637695,42.41999816894531,True,500,510.80125994365517,2641.4439842840075,complete
ds512,2,pre-E2 archived E5 identity,10,7,512,,500,46.29199981689453,47.66999816894531,True,500,511.7846596795539,2588.730830225046,complete
ds512,3,pre-E2 archived E5 identity,10,7,512,,500,47.87200012207031,49.20000076293945,True,500,543.139242271605,2264.300584324985,complete
ds512,4,pre-E2 archived E5 identity,10,7,512,,500,46.077000045776366,46.380001068115234,True,500,512.7365210909569,2281.5841680929298,complete
ds512,5,pre-E2 archived E5 identity,10,7,512,,500,46.20999984741211,46.810001373291016,True,500,510.9498629119021,2571.0036046379246,complete
ds8192,1,pre-E2 archived E5 identity,10,7,8192,,500,47.85499992370605,48.2599983215332,True,500,509.39718256982025,2326.9698868090054,complete
ds8192,2,pre-E2 archived E5 identity,10,7,8192,,500,47.51500053405762,47.58000183105469,True,500,506.5191719652228,2542.968551983009,complete
ds8192,3,pre-E2 archived E5 identity,10,7,8192,,500,47.177999877929686,49.040000915527344,True,500,543.3782463190792,2256.2422446309356,complete
ds8192,4,pre-E2 archived E5 identity,10,7,8192,,500,47.45200042724609,47.959999084472656,True,500,518.4139995184762,2431.1502164909616,complete
ds8192,5,pre-E2 archived E5 identity,10,7,8192,,500,46.29099998474121,47.7400016784668,True,500,512.6286293907909,2616.5100920009427,complete
K1,1,pre-E2 archived E5 identity,10,1,2048,,500,23.691000175476074,9.710000038146973,True,500,512.7094493146162,2702.651824276021,complete
K1,2,pre-E2 archived E5 identity,10,1,2048,,500,17.195000076293944,25.260000228881836,True,500,505.687773733959,2771.554540748999,complete
K1,3,pre-E2 archived E5 identity,10,1,2048,,500,28.045999908447264,26.229999542236328,True,500,547.559100737667,2790.9412497710437,complete
K1,4,pre-E2 archived E5 identity,10,1,2048,,500,15.06700005531311,11.260000228881836,True,500,514.4853256074257,2773.2388577529928,complete
K1,5,pre-E2 archived E5 identity,10,1,2048,,500,31.569000434875488,23.219999313354492,True,500,510.13972855017937,2696.2576384999556,complete
K2,1,pre-E2 archived E5 identity,10,2,2048,,500,43.61499938964844,45.849998474121094,True,500,512.7094493146162,2789.4995372020057,complete
K2,2,pre-E2 archived E5 identity,10,2,2048,,500,40.515999984741214,43.16999816894531,True,500,505.687773733959,2911.9710909499554,complete
K2,3,pre-E2 archived E5 identity,10,2,2048,,500,45.15400009155273,43.790000915527344,True,500,547.559100737667,2510.5290470250184,complete
K2,4,pre-E2 archived E5 identity,10,2,2048,,500,41.772000312805176,44.65999984741211,True,500,514.4853256074257,2596.7865287180175,complete
K2,5,pre-E2 archived E5 identity,10,2,2048,,500,42.47000007629394,41.68000030517578,True,500,510.13972855017937,2876.0348907620064,complete
K4,1,pre-E2 archived E5 identity,10,4,2048,,500,47.2370002746582,43.56999969482422,True,500,510.12711203224524,2878.456594952964,complete
K4,2,pre-E2 archived E5 identity,10,4,2048,,500,45.88600044250488,46.939998626708984,True,500,505.687773733959,2842.1442707760143,complete
K4,3,pre-E2 archived E5 identity,10,4,2048,,500,47.755000305175784,47.2400016784668,True,500,543.4317378907947,2529.3826646259986,complete
K4,4,pre-E2 archived E5 identity,10,4,2048,,500,46.25099983215332,47.970001220703125,True,500,514.4853256074257,2889.8530330429785,complete
K4,5,pre-E2 archived E5 identity,10,4,2048,,500,45.50900039672852,45.5099983215332,True,500,510.13972855017937,2869.714264968992,complete
K12,1,pre-E2 archived E5 identity,10,12,2048,,500,49.29899978637695,49.529998779296875,True,500,510.0014622879892,2738.892548926,complete
K12,2,pre-E2 archived E5 identity,10,12,2048,,500,49.12299995422363,50.459999084472656,True,500,507.180121761039,2658.8953192000045,complete
K12,3,pre-E2 archived E5 identity,10,12,2048,,500,49.32600021362305,48.970001220703125,True,500,542.3773936483359,2250.127001408953,complete
K12,4,pre-E2 archived E5 identity,10,12,2048,,500,49.68600006103516,50.029998779296875,True,500,519.401003358495,2434.49954464403,complete
K12,5,pre-E2 archived E5 identity,10,12,2048,,500,47.207999801635744,48.54999923706055,True,500,511.35170833391294,2483.553578231018,complete
K16,1,pre-E2 archived E5 identity,10,16,2048,,500,48.956999969482425,49.439998626708984,True,500,513.3656857281416,2376.4407176030218,complete
K16,2,pre-E2 archived E5 identity,10,16,2048,,500,49.43200035095215,49.880001068115234,True,500,510.00843360993576,2432.0448190569878,complete
K16,3,pre-E2 archived E5 identity,10,16,2048,,500,48.96199989318848,49.06999969482422,True,500,543.0952217431893,2372.214852072997,complete
K16,4,pre-E2 archived E5 identity,10,16,2048,,500,48.632999420166016,49.060001373291016,True,500,512.2838779800761,2422.6087380429963,complete
