config,B,seed,population_sizes,null_expected_phi,observed_mean_phi,null_expected_coverage,observed_mean_coverage,status
default_B10K7ds2048,10,1,"[25,25,25,25]",0.06818181818181818,0.0766,0.9521134438156095,0.94,finite-buffer null; nonzero phi is not persistent-skew proof
default_B10K7ds2048,10,2,"[25,25,25,25]",0.06818181818181818,0.0646,0.9521134438156095,0.9575,finite-buffer null; nonzero phi is not persistent-skew proof
default_B10K7ds2048,10,3,"[25,25,25,25]",0.06818181818181818,0.0686,0.9521134438156095,0.945,finite-buffer null; nonzero phi is not persistent-skew proof
default_B10K7ds2048,10,4,"[25,25,25,25]",0.06818181818181818,0.0646,0.9521134438156095,0.9525,finite-buffer null; nonzero phi is not persistent-skew proof
default_B10K7ds2048,10,5,"[25,25,25,25]",0.06818181818181818,0.0646,0.9521134438156095,0.96,finite-buffer null; nonzero phi is not persistent-skew proof
B5_rule,5,1,"[25,25,25,25]",0.14393939393939392,0.1412,0.7707536388501042,0.76,finite-buffer null; nonzero phi is not persistent-skew proof
B5_rule,5,2,"[25,25,25,25]",0.14393939393939392,0.154,0.7707536388501042,0.76,finite-buffer null; nonzero phi is not persistent-skew proof
B5_rule,5,3,"[25,25,25,25]",0.14393939393939392,0.1316,0.7707536388501042,0.7875,finite-buffer null; nonzero phi is not persistent-skew proof
B5_rule,5,4,"[25,25,25,25]",0.14393939393939392,0.1236,0.7707536388501042,0.795,finite-buffer null; nonzero phi is not persistent-skew proof
B5_rule,5,5,"[25,25,25,25]",0.14393939393939392,0.1428,0.7707536388501042,0.78,finite-buffer null; nonzero phi is not persistent-skew proof
B5_fixed,5,1,"[25,25,25,25]",0.14393939393939392,0.146,0.7707536388501042,0.7725,finite-buffer null; nonzero phi is not persistent-skew proof
B5_fixed,5,2,"[25,25,25,25]",0.14393939393939392,0.1516,0.7707536388501042,0.75,finite-buffer null; nonzero phi is not persistent-skew proof
B5_fixed,5,3,"[25,25,25,25]",0.14393939393939392,0.1612,0.7707536388501042,0.7475,finite-buffer null; nonzero phi is not persistent-skew proof
B5_fixed,5,4,"[25,25,25,25]",0.14393939393939392,0.1628,0.7707536388501042,0.76,finite-buffer null; nonzero phi is not persistent-skew proof
B5_fixed,5,5,"[25,25,25,25]",0.14393939393939392,0.126,0.7707536388501042,0.8,finite-buffer null; nonzero phi is not persistent-skew proof
B20_rule,20,1,"[25,25,25,25]",0.030303030303030304,0.0334,0.998501505750283,1.0,finite-buffer null; nonzero phi is not persistent-skew proof
B20_rule,20,2,"[25,25,25,25]",0.030303030303030304,0.02785,0.998501505750283,0.9975,finite-buffer null; nonzero phi is not persistent-skew proof
B20_rule,20,3,"[25,25,25,25]",0.030303030303030304,0.028,0.998501505750283,1.0,finite-buffer null; nonzero phi is not persistent-skew proof
B20_rule,20,4,"[25,25,25,25]",0.030303030303030304,0.02945,0.998501505750283,1.0,finite-buffer null; nonzero phi is not persistent-skew proof
B20_rule,20,5,"[25,25,25,25]",0.030303030303030304,0.0318,0.998501505750283,1.0,finite-buffer null; nonzero phi is not persistent-skew proof
B20_fixed,20,1,"[25,25,25,25]",0.030303030303030304,0.02765,0.998501505750283,0.995,finite-buffer null; nonzero phi is not persistent-skew proof
B20_fixed,20,2,"[25,25,25,25]",0.030303030303030304,0.0298,0.998501505750283,1.0,finite-buffer null; nonzero phi is not persistent-skew proof
B20_fixed,20,3,"[25,25,25,25]",0.030303030303030304,0.02795,0.998501505750283,1.0,finite-buffer null; nonzero phi is not persistent-skew proof
B20_fixed,20,4,"[25,25,25,25]",0.030303030303030304,0.03335,0.998501505750283,1.0,finite-buffer null; nonzero phi is not persistent-skew proof
B20_fixed,20,5,"[25,25,25,25]",0.030303030303030304,0.031,0.998501505750283,0.9975,finite-buffer null; nonzero phi is not persistent-skew proof
