method,path,shape,dtype,device,logical_bytes,storage_ptr,storage_offset,unique_physical_bytes,alias_of,persistent,algorithm_state
FedBuff,FedBuff.algorithm_state.fedbuff.last_aggregate.weight,"(10000,)",torch.float32,cpu,40000,94676663453632,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[0].weight,"(10000,)",torch.float32,cpu,40000,94676663495552,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[1].weight,"(10000,)",torch.float32,cpu,40000,94676663550144,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[2].weight,"(10000,)",torch.float32,cpu,40000,94676661443584,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[3].weight,"(10000,)",torch.float32,cpu,40000,94676663752576,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[4].weight,"(10000,)",torch.float32,cpu,40000,94676663607872,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[5].weight,"(10000,)",torch.float32,cpu,40000,94676663648000,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[6].weight,"(10000,)",torch.float32,cpu,40000,94676663832704,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[7].weight,"(10000,)",torch.float32,cpu,40000,94676663872832,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[8].weight,"(10000,)",torch.float32,cpu,40000,94676663316736,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[9].weight,"(10000,)",torch.float32,cpu,40000,94676663356800,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[10].weight,"(10000,)",torch.float32,cpu,40000,94676664631360,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[11].weight,"(10000,)",torch.float32,cpu,40000,94676664671424,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[12].weight,"(10000,)",torch.float32,cpu,40000,94676664711488,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[13].weight,"(10000,)",torch.float32,cpu,40000,94676664751552,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[14].weight,"(10000,)",torch.float32,cpu,40000,94676664143936,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[15].weight,"(10000,)",torch.float32,cpu,40000,94676664184000,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[16].weight,"(10000,)",torch.float32,cpu,40000,94676664224064,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[17].weight,"(10000,)",torch.float32,cpu,40000,94676664264128,0,40000,,True,True
CA2FL,CA2FL.algorithm_state.cache[18].weight,"(10000,)",torch.float32,cpu,40000,94676664304192,0,40000,,True,True
