dataset,method,seed,accuracy_rows,accuracy_all_finite,eval_rounds_logged,loss_nan_first_round,loss_nan_last_round,nan_loss_count,tail10_contains_nan_loss,parameter_finiteness,logit_finiteness,bn_buffer_finiteness,classification
femnist,CA2FL,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CA2FL,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CA2FL,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CA2FL,4,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CA2FL,5,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CASA,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CASA,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CASA,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CASA,4,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,CASA,5,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,DirBridge,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,DirBridge,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,DirBridge,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,DirBridge,4,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,DirBridge,5,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FADAS,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FADAS,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FADAS,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FADAS,4,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FADAS,5,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedASMU,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedASMU,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedASMU,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedASMU,4,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedASMU,5,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuff,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuff,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuff,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuff,4,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuff,5,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuffMALight,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuffMALight,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuffMALight,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuffMALight,4,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
femnist,FedBuffMALight,5,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
gspeech,CA2FL,1,500,True,500,2,500,482,True,not_logged,not_logged,not_logged,unresolved
gspeech,CA2FL,2,500,True,500,2,500,494,True,not_logged,not_logged,not_logged,unresolved
gspeech,CA2FL,3,500,True,500,2,500,482,True,not_logged,not_logged,not_logged,unresolved
gspeech,CA2FL,4,500,True,500,2,500,497,True,not_logged,not_logged,not_logged,unresolved
gspeech,CA2FL,5,500,True,500,2,500,494,True,not_logged,not_logged,not_logged,unresolved
gspeech,CASA,1,500,True,500,2,500,425,True,not_logged,not_logged,not_logged,unresolved
gspeech,CASA,2,500,True,500,2,500,488,True,not_logged,not_logged,not_logged,unresolved
gspeech,CASA,3,500,True,500,2,500,431,True,not_logged,not_logged,not_logged,unresolved
gspeech,CASA,4,500,True,500,2,500,482,True,not_logged,not_logged,not_logged,unresolved
gspeech,CASA,5,500,True,500,2,500,481,True,not_logged,not_logged,not_logged,unresolved
gspeech,DirBridge,1,500,True,500,2,19,13,False,not_logged,not_logged,not_logged,unresolved
gspeech,DirBridge,2,500,True,500,2,454,76,False,not_logged,not_logged,not_logged,unresolved
gspeech,DirBridge,3,500,True,500,2,18,11,False,not_logged,not_logged,not_logged,unresolved
gspeech,DirBridge,4,500,True,500,2,458,111,False,not_logged,not_logged,not_logged,unresolved
gspeech,DirBridge,5,500,True,500,2,408,52,False,not_logged,not_logged,not_logged,unresolved
gspeech,FADAS,1,500,True,500,2,484,138,False,not_logged,not_logged,not_logged,unresolved
gspeech,FADAS,2,500,True,500,2,500,445,True,not_logged,not_logged,not_logged,unresolved
gspeech,FADAS,3,500,True,500,2,413,125,False,not_logged,not_logged,not_logged,unresolved
gspeech,FADAS,4,500,True,500,2,174,74,False,not_logged,not_logged,not_logged,unresolved
gspeech,FADAS,5,500,True,500,2,500,411,True,not_logged,not_logged,not_logged,unresolved
gspeech,FedASMU,1,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
gspeech,FedASMU,2,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
gspeech,FedASMU,3,500,True,500,,,0,False,not_logged,not_logged,not_logged,not_logged
