dataset,comparison,seed,dirbridge_tail10,baseline_tail10,paired_difference,win
femnist,DirBridge_vs_FedBuff,1,72.32253952026367,73.03209762573242,-0.7095581054687443,loss
femnist,DirBridge_vs_FedBuff,2,73.52505455017089,73.93215866088867,-0.40710411071778196,loss
femnist,DirBridge_vs_FedBuff,3,75.60658798217773,75.4946403503418,0.11194763183593182,win
femnist,DirBridge_vs_FedBuff,4,80.4615348815918,74.24443054199219,6.217104339599615,win
femnist,DirBridge_vs_FedBuff,5,66.09786186218261,69.70624542236328,-3.6083835601806697,loss
gspeech,DirBridge_vs_FedASMU,1,61.43298492431641,35.65833740234375,25.77464752197266,win
gspeech,DirBridge_vs_FedASMU,2,44.58518905639649,35.9073148727417,8.677874183654787,win
gspeech,DirBridge_vs_FedASMU,3,63.274875259399415,39.47114944458008,23.803725814819337,win
gspeech,DirBridge_vs_FedASMU,4,55.727396392822264,37.90822334289551,17.819173049926754,win
gspeech,DirBridge_vs_FedASMU,5,41.25215768814087,34.04725093841553,7.204906749725339,win
