method,run_device,phase,path,ownership,kind,shape,dtype,device,storage_ptr,storage_offset,storage_bytes,logical_bytes,unique_physical_bytes,alias_of,python_shallow_bytes
FedBuff,cpu,init,state.net_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446926848,0,32,32,32,,0
FedBuff,cpu,init,state.w_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792444985600,0,32,32,32,,0
FedBuff,cpu,init,state.dataset_train,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,init,state.dict_users.0,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,init,state.dict_users.1,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,init,state.dict_users.2,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,init,state.dict_users.3,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,init,state.dict_users.4,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,init,state.dict_users.5,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,init,state.num_samples,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,init,state.delta,shared,list_metadata,,,,,,0,0,0,,120
FedBuff,cpu,init,state.delta[0].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446548800,0,32,32,32,,0
FedBuff,cpu,init,state.delta[1].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446716992,0,32,32,32,,0
FedBuff,cpu,init,state.delta[2].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447093632,0,32,32,32,,0
FedBuff,cpu,init,state.delta[3].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447308992,0,32,32,32,,0
FedBuff,cpu,init,state.delta[4].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792444944320,0,32,32,32,,0
FedBuff,cpu,init,state.delta[5].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447300096,0,32,32,32,,0
FedBuff,cpu,init,state.stamp,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,init,state.cost,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,init,state.client_delay_groups,method_owned,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,init,state.client_delay_group_probs,method_owned,list_metadata,,,,,,0,0,0,,88
FedBuff,cpu,after5,state.net_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446926848,0,32,32,32,,0
FedBuff,cpu,after5,state.w_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792444985600,0,32,32,32,,0
FedBuff,cpu,after5,state.dataset_train,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,after5,state.dict_users.0,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,after5,state.dict_users.1,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,after5,state.dict_users.2,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,after5,state.dict_users.3,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,after5,state.dict_users.4,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,after5,state.dict_users.5,shared,list_metadata,,,,,,0,0,0,,64
FedBuff,cpu,after5,state.num_samples,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,after5,state.delta,shared,list_metadata,,,,,,0,0,0,,120
FedBuff,cpu,after5,state.delta[0].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447854656,0,32,32,32,,0
FedBuff,cpu,after5,state.delta[1].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447857728,0,32,32,32,,0
FedBuff,cpu,after5,state.delta[2].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792445008832,0,32,32,32,,0
FedBuff,cpu,after5,state.delta[3].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447856640,0,32,32,32,,0
FedBuff,cpu,after5,state.delta[4].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446692416,0,32,32,32,,0
FedBuff,cpu,after5,state.delta[5].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447853568,0,32,32,32,,0
FedBuff,cpu,after5,state.stamp,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,after5,state.cost,shared,list_metadata,,,,,,0,0,0,,104
FedBuff,cpu,after5,state.last_buffer_list,shared,list_metadata,,,,,,0,0,0,,72
