method,run_device,phase,ownership,tensor_rows,logical_bytes,unique_physical_bytes,python_list_tuple_shallow_bytes
FedBuff,cpu,init,shared,8,256,256,920
FedBuff,cpu,init,method_owned,0,0,0,192
FedBuff,cpu,after5,shared,8,256,256,1176
FedBuff,cpu,after5,method_owned,0,0,0,192
CA2FL,cpu,init,shared,8,256,256,832
CA2FL,cpu,init,method_owned,7,224,224,312
CA2FL,cpu,after5,shared,8,256,256,1088
CA2FL,cpu,after5,method_owned,7,224,160,312
DirBridge,cpu,init,shared,8,256,256,1024
DirBridge,cpu,init,method_owned,32,1096,840,1784
DirBridge,cpu,after5,shared,8,256,256,1312
DirBridge,cpu,after5,method_owned,32,1096,1096,1784
FADAS,cpu,init,shared,8,256,256,1024
FADAS,cpu,init,method_owned,3,96,96,192
FADAS,cpu,after5,shared,8,256,256,1280
FADAS,cpu,after5,method_owned,3,96,96,192
FedBuff,cuda,init,shared,8,256,256,920
FedBuff,cuda,init,method_owned,0,0,0,192
FedBuff,cuda,after5,shared,8,256,256,1176
FedBuff,cuda,after5,method_owned,0,0,0,192
CA2FL,cuda,init,shared,8,256,256,832
CA2FL,cuda,init,method_owned,7,224,224,312
CA2FL,cuda,after5,shared,8,256,256,1088
CA2FL,cuda,after5,method_owned,7,224,160,312
DirBridge,cuda,init,shared,8,256,256,1024
DirBridge,cuda,init,method_owned,32,1096,840,1784
DirBridge,cuda,after5,shared,8,256,256,1312
DirBridge,cuda,after5,method_owned,32,1096,1096,1784
FADAS,cuda,init,shared,8,256,256,1024
FADAS,cuda,init,method_owned,3,96,96,192
FADAS,cuda,after5,shared,8,256,256,1280
FADAS,cuda,after5,method_owned,3,96,96,192
